2025-06-26 12:58:34,262 | __main__ | INFO | run_pipeline.py:661 | 🚀 Starting Plant Builder
2025-06-26 12:58:34,263 | __main__ | INFO | run_pipeline.py:662 | 📋 Template ID: 1
2025-06-26 12:58:34,263 | __main__ | INFO | run_pipeline.py:663 | 🌿 Feedstock: Natural Gas
2025-06-26 12:58:34,263 | __main__ | INFO | run_pipeline.py:664 | 📊 Production Capacity: 1 tons/year
2025-06-26 12:58:34,263 | __main__ | INFO | run_pipeline.py:665 | 📍 Location: Texas, USA
2025-06-26 12:58:34,263 | __main__ | INFO | run_pipeline.py:666 | ⏰ Operating Hours: 8000
2025-06-26 12:58:34,264 | pynucleus.pipeline.plant_builder | INFO | plant_builder.py:19 | PlantBuilder initialized with mock data manager
2025-06-26 12:58:34,264 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-26 12:58:34,307 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-06-26 12:58:34,326 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/tokenizer_config.json HTTP/1.1" 200 0
2025-06-26 12:58:34,367 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/Qwen/Qwen2.5-1.5B-Instruct/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-06-26 12:58:34,564 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/config.json HTTP/1.1" 307 0
2025-06-26 12:58:34,581 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/config.json HTTP/1.1" 200 0
2025-06-26 12:58:46,651 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/generation_config.json HTTP/1.1" 307 0
2025-06-26 12:58:46,672 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/generation_config.json HTTP/1.1" 200 0
2025-06-26 12:58:46,722 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
2025-06-26 12:58:46,722 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-26 12:58:46,722 | __main__ | ERROR | run_pipeline.py:770 | ❌ Validation error: Template with ID 1 not found
