2025-06-18 16:00:38,499 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!
2025-06-18 16:00:38,503 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 632-374-954
2025-06-18 16:01:14,573 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:01:14] "GET / HTTP/1.1" 200 -
2025-06-18 16:01:15,529 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:01:15] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-06-18 16:02:04,425 | __main__ | WARNING | app.py:53 | API request with invalid API key
2025-06-18 16:02:04,427 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:02:04] "[31m[1mPOST /ask HTTP/1.1[0m" 401 -
2025-06-18 16:02:11,319 | __main__ | WARNING | app.py:53 | API request with invalid API key
2025-06-18 16:02:11,319 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:02:11] "[31m[1mPOST /ask HTTP/1.1[0m" 401 -
2025-06-18 16:04:59,707 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:04:59] "GET / HTTP/1.1" 200 -
2025-06-18 16:04:59,833 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:04:59] "GET / HTTP/1.1" 200 -
2025-06-18 16:05:06,498 | __main__ | WARNING | app.py:53 | API request with invalid API key
2025-06-18 16:05:06,499 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:05:06] "[31m[1mPOST /ask HTTP/1.1[0m" 401 -
2025-06-18 16:05:22,959 | __main__ | WARNING | app.py:53 | API request with invalid API key
2025-06-18 16:05:22,960 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:05:22] "[31m[1mPOST /ask HTTP/1.1[0m" 401 -
2025-06-18 16:05:27,955 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:05:27] "GET / HTTP/1.1" 200 -
2025-06-18 16:05:33,550 | __main__ | WARNING | app.py:53 | API request with invalid API key
2025-06-18 16:05:33,551 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:05:33] "[31m[1mPOST /ask HTTP/1.1[0m" 401 -
2025-06-18 16:06:12,173 | werkzeug | INFO | _internal.py:97 |  * Detected change in '/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/api/app.py', reloading
