2025-07-01 03:09:08,049 | __main__ | INFO | run_pipeline.py:519 | 🚀 Starting interactive chat session
2025-07-01 03:09:08,049 | __main__ | INFO | run_pipeline.py:520 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-07-01 03:09:08,049 | __main__ | INFO | run_pipeline.py:521 | 📊 Top K: 5
2025-07-01 03:09:08,049 | __main__ | INFO | run_pipeline.py:534 | 🔧 Initializing RAG pipeline and LLM runner
2025-07-01 03:09:08,050 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-07-01 03:09:08,050 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-07-01 03:09:08,050 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-07-01 03:09:08,050 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-07-01 03:09:08,050 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-07-01 03:09:08,051 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-07-01 03:09:08,051 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-07-01 03:09:18,062 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-07-01 03:09:30,534 | pynucleus | INFO | engine.py:149 | Enhanced retrieval: 3 documents (filtered from 3) for query
2025-07-01 03:09:30,534 | pynucleus | INFO | engine.py:223 | Built enhanced context: 3 chunks, 2292 characters
2025-07-01 03:09:30,534 | pynucleus | INFO | engine.py:464 | Question complexity: Simple, Token limit: 250, Context length: 2292
2025-07-01 03:09:30,534 | pynucleus | INFO | model_loader.py:262 | Generating with HuggingFace model (max_tokens=250, stream=False)
2025-07-01 03:10:21,520 | pynucleus | INFO | answer_processing.py:72 | Deduplication: 3 -> 3 sentences
2025-07-01 03:10:21,521 | pynucleus.rag.answer_processing | INFO | answer_processing.py:219 | Deduplication: 3 -> 3 sentences
2025-07-01 03:10:21,522 | pynucleus | INFO | answer_processing.py:182 | Added citation to answer lacking proper citations
2025-07-01 03:10:21,522 | pynucleus.rag.answer_processing | INFO | answer_processing.py:238 | Added citation to answer lacking proper citations
2025-07-01 03:10:21,522 | pynucleus | INFO | model_loader.py:262 | Generating with HuggingFace model (max_tokens=300, stream=False)
2025-07-01 03:11:15,823 | pynucleus.rag.answer_processing | INFO | answer_processing.py:247 | Applied answer improvement due to low quality scores
2025-07-01 03:11:16,536 | pynucleus.eval | WARNING | __init__.py:42 | No calibration model found at data/calibration/models/calibration_isotonic.pkl
2025-07-01 03:11:16,536 | pynucleus | INFO | engine.py:28 | No trained confidence calibration model found, using identity function
