2025-06-19 16:44:13,510 | __main__ | INFO | run_pipeline.py:436 | 🚀 Starting RAG query
2025-06-19 16:44:13,510 | __main__ | INFO | run_pipeline.py:437 | ❓ Question: What are modular chemical plants?
2025-06-19 16:44:13,510 | __main__ | INFO | run_pipeline.py:438 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-19 16:44:13,510 | __main__ | INFO | run_pipeline.py:439 | 📊 Top K: 5
2025-06-19 16:44:13,510 | __main__ | INFO | run_pipeline.py:442 | 🔄 Using RAG system for query processing
2025-06-19 16:44:13,956 | chromadb.config | DEBUG | config.py:359 | Starting component System
2025-06-19 16:44:13,956 | chromadb.config | DEBUG | config.py:359 | Starting component Posthog
2025-06-19 16:44:13,962 | pynucleus.rag.vector_store | INFO | vector_store.py:593 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-19 16:44:14,039 | pynucleus.rag.vector_store | INFO | vector_store.py:598 | ChromaDB collection contains 3602 documents
2025-06-19 16:44:14,039 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:36 | Vector store (chroma) initialized successfully
2025-06-19 16:44:14,039 | __main__ | INFO | run_pipeline.py:449 | 🔄 Processing question...
2025-06-19 16:44:14,094 | chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2 | DEBUG | onnx_mini_lm_l6_v2.py:227 | WARNING: No ONNX providers provided, defaulting to available providers: ['CoreMLExecutionProvider', 'AzureExecutionProvider', 'CPUExecutionProvider']
2025-06-19 16:44:14,205 | pynucleus.rag.vector_store | ERROR | vector_store.py:666 | ChromaDB search failed: 'NoneType' object has no attribute 'get'
2025-06-19 16:44:14,205 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:104 | RAG query processed: What are modular chemical plants?...
2025-06-19 16:44:16,312 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-19 16:44:16,313 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-06-19 16:44:16,959 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-06-19 16:44:17,472 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/Qwen/Qwen2.5-1.5B-Instruct/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-06-19 16:44:18,082 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/config.json HTTP/1.1" 200 0
2025-06-19 16:44:23,370 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/generation_config.json HTTP/1.1" 200 0
2025-06-19 16:44:23,419 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
2025-06-19 16:44:23,420 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-19 16:44:23,420 | __main__ | INFO | run_pipeline.py:471 | 🤖 Generating enhanced response with Qwen/Qwen2.5-1.5B-Instruct
2025-06-19 16:45:12,008 | pynucleus.llm.llm_runner | INFO | llm_runner.py:172 | Generated response in 48.57s
2025-06-19 16:45:12,010 | __main__ | INFO | run_pipeline.py:493 | ✅ Question processed successfully
