2025-07-03 21:13:16,948 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Execution OK
2025-07-03 21:13:16,948 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Overall: HEALTHY
2025-07-03 21:13:16,953 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Syntax OK
2025-07-03 21:13:16,953 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Imports OK
2025-07-03 21:13:16,954 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Execution OK
2025-07-03 21:13:16,954 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Overall: HEALTHY
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Syntax OK
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Imports OK
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Execution OK
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Overall: HEALTHY
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:240 | Validation Scripts Health: PASSED
2025-07-03 21:13:16,957 | diagnostic_runner_file | WARNING | runner.py:238 | - 4/4 scripts healthy (100.0%)
2025-07-03 21:13:16,957 | diagnostic_runner_file | INFO | runner.py:248 | === RAG SYSTEM HEALTH CHECK ===
2025-07-03 21:13:16,958 | diagnostic_runner_file | INFO | runner.py:240 | RAG Core Import: PASSED
2025-07-03 21:13:16,958 | diagnostic_runner_file | WARNING | runner.py:238 | - RAG modules successfully imported
2025-07-03 21:13:16,958 | diagnostic_runner_file | INFO | runner.py:240 | Testing RAG system components...
2025-07-03 21:13:16,958 | diagnostic_runner_file | INFO | runner.py:240 | RAG System Components: PASSED
2025-07-03 21:13:16,958 | diagnostic_runner_file | WARNING | runner.py:238 | - RAG system accessible
