2025-06-24 20:02:29,350 | __main__ | INFO | run_pipeline.py:517 | 🚀 Starting interactive chat session
2025-06-24 20:02:29,350 | __main__ | INFO | run_pipeline.py:518 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-24 20:02:29,350 | __main__ | INFO | run_pipeline.py:519 | 📊 Top K: 5
2025-06-24 20:02:29,350 | __main__ | INFO | run_pipeline.py:532 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-24 20:02:29,351 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 20:02:29,351 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 20:02:29,352 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 20:02:29,352 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-24 20:02:29,352 | pynucleus | INFO | engine.py:58 | ChromaDB collection initialized successfully
2025-06-24 20:02:29,352 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3772 documents
2025-06-24 20:02:29,352 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-24 20:02:39,242 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-24 20:03:03,146 | pynucleus | INFO | engine.py:129 | Enhanced retrieval: 5 documents (filtered from 5) for query
2025-06-24 20:03:03,146 | pynucleus | INFO | engine.py:359 | Retrieved 5 documents for query: 'what is modular plants?'
2025-06-24 20:03:03,146 | pynucleus | INFO | engine.py:361 | Document lengths: [2501, 1801, 2537, 4187, 1637]
2025-06-24 20:03:03,147 | pynucleus | INFO | engine.py:203 | Built enhanced context: 3 chunks, 2304 characters
2025-06-24 20:03:03,147 | pynucleus | INFO | engine.py:371 | Using RAG approach with 5 documents
2025-06-24 20:03:03,147 | pynucleus | INFO | model_loader.py:262 | Generating with HuggingFace model (max_tokens=512, stream=False)
2025-06-24 20:03:37,919 | pynucleus | INFO | answer_processing.py:46 | Deduplication: 13 -> 13 sentences
2025-06-24 20:03:37,919 | pynucleus | INFO | answer_processing.py:156 | Added citation to answer lacking proper citations
2025-06-24 20:03:46,048 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 8.11s
