2025-06-22 00:06:01,604 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-22 00:06:01,655 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.43:5001
2025-06-22 00:06:01,655 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-22 00:06:04,484 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:06:04] "GET / HTTP/1.1" 200 -
2025-06-22 00:06:06,611 | pynucleus.api.app | INFO | app.py:149 | Health check requested
2025-06-22 00:06:06,697 | pynucleus | INFO | engine.py:36 | ChromaDB client initialized successfully
2025-06-22 00:06:07,299 | pynucleus | INFO | engine.py:72 | Retrieved 2 documents for query
2025-06-22 00:06:07,299 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-22 00:06:10,659 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-22 00:06:10,660 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-22 00:06:10,673 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-22 00:06:10,674 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:06:10] "GET /health HTTP/1.1" 200 -
2025-06-22 00:06:31,915 | pynucleus.api.app | INFO | app.py:618 | Uploading file: 1-s2.0-S0029549306000276-main.pdf -> 20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.pdf (and original in data/02_processed/)
2025-06-22 00:06:31,918 | pynucleus.api.app | INFO | app.py:627 | ✅ Also saved as original filename in processed dir: 1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:06:31,918 | pynucleus.api.app | INFO | app.py:649 | Ingesting file into vector database: 20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:06:32,045 | pynucleus.rag.document_processor | INFO | document_processor.py:185 | Extracted 32702 characters from PDF: 20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:06:32,560 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-22 00:06:32,561 | pynucleus.rag.document_processor | ERROR | document_processor.py:565 | Failed to extract tables from source_documents/20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-22 00:06:32,563 | pynucleus.rag.document_processor | INFO | document_processor.py:131 | Saved cleaned text to: data/02_processed/cleaned_txt/20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.txt
2025-06-22 00:06:32,663 | pynucleus | INFO | engine.py:72 | Retrieved 1 documents for query
2025-06-22 00:06:32,663 | pynucleus.api.app | INFO | app.py:688 | File successfully ingested and retrievable: 20250622_000631_5063ae96_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:06:32,663 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:06:32] "POST /upload HTTP/1.1" 200 -
2025-06-22 00:08:50,753 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:08:50] "GET / HTTP/1.1" 200 -
2025-06-22 00:09:07,474 | pynucleus.api.app | INFO | app.py:618 | Uploading file: 1-s2.0-S0029549306000276-main.pdf -> 20250622_000907_b0861769_1-s2.0-S0029549306000276-main.pdf (and original in data/02_processed/)
2025-06-22 00:09:07,477 | pynucleus.api.app | INFO | app.py:627 | ✅ Also saved as original filename in processed dir: 1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:09:07,477 | pynucleus.api.app | INFO | app.py:649 | Ingesting file into vector database: 20250622_000907_b0861769_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:09:07,521 | pynucleus.rag.document_processor | INFO | document_processor.py:185 | Extracted 32702 characters from PDF: 20250622_000907_b0861769_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:09:08,022 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-22 00:09:08,023 | pynucleus.rag.document_processor | ERROR | document_processor.py:565 | Failed to extract tables from source_documents/20250622_000907_b0861769_1-s2.0-S0029549306000276-main.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-22 00:09:08,025 | pynucleus.rag.document_processor | INFO | document_processor.py:131 | Saved cleaned text to: data/02_processed/cleaned_txt/20250622_000907_b0861769_1-s2.0-S0029549306000276-main.txt
2025-06-22 00:09:08,142 | pynucleus | INFO | engine.py:72 | Retrieved 1 documents for query
2025-06-22 00:09:08,142 | pynucleus.api.app | INFO | app.py:688 | File successfully ingested and retrievable: 20250622_000907_b0861769_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:09:08,142 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:09:08] "POST /upload HTTP/1.1" 200 -
2025-06-22 00:09:34,130 | pynucleus.api.app | INFO | app.py:149 | Health check requested
2025-06-22 00:09:34,247 | pynucleus | INFO | engine.py:72 | Retrieved 2 documents for query
2025-06-22 00:09:34,247 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-22 00:09:37,588 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-22 00:09:37,588 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-22 00:09:37,589 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-22 00:09:37,589 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:09:37] "GET /health HTTP/1.1" 200 -
2025-06-22 00:11:22,689 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:11:22] "GET / HTTP/1.1" 200 -
2025-06-22 00:11:33,583 | pynucleus.api.app | INFO | app.py:618 | Uploading file: 1-s2.0-S0029549306000276-main.pdf -> 20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.pdf (and original in data/02_processed/)
2025-06-22 00:11:33,586 | pynucleus.api.app | INFO | app.py:627 | ✅ Also saved as original filename in processed dir: 1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:11:33,587 | pynucleus.api.app | INFO | app.py:649 | Ingesting file into vector database: 20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:11:33,631 | pynucleus.rag.document_processor | INFO | document_processor.py:185 | Extracted 32702 characters from PDF: 20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:11:33,973 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-22 00:11:33,973 | pynucleus.rag.document_processor | ERROR | document_processor.py:565 | Failed to extract tables from source_documents/20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-22 00:11:33,977 | pynucleus.rag.document_processor | INFO | document_processor.py:131 | Saved cleaned text to: data/02_processed/cleaned_txt/20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.txt
2025-06-22 00:11:34,090 | pynucleus | INFO | engine.py:72 | Retrieved 1 documents for query
2025-06-22 00:11:34,090 | pynucleus.api.app | INFO | app.py:688 | File successfully ingested and retrievable: 20250622_001133_c6bab6cb_1-s2.0-S0029549306000276-main.pdf
2025-06-22 00:11:34,091 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 00:11:34] "POST /upload HTTP/1.1" 200 -
