2025-06-18 16:07:35,486 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
2025-06-18 16:07:35,486 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-18 16:07:35,487 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:07:35,608 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!
2025-06-18 16:07:35,613 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 632-374-954
2025-06-18 16:07:45,730 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:07:45] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-18 16:07:52,566 | __main__ | INFO | app.py:101 | Processing question: what is chemistry...
2025-06-18 16:07:55,314 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:07:55,330 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:07:55,330 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:07:56,841 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:07:56,841 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:07:57,609 | faiss.loader | INFO | loader.py:148 | Loading faiss.
2025-06-18 16:07:57,641 | faiss.loader | INFO | loader.py:150 | Successfully loaded faiss.
2025-06-18 16:07:57,644 | faiss | INFO | __init__.py:174 | Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
2025-06-18 16:07:57,792 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:07:57,792 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:07:57,792 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:07:57,896 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'what is chemistry...' returned 5 results
2025-06-18 16:07:57,896 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: what is chemistry...
2025-06-18 16:07:57,897 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:08:00,389 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:08:00,390 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:08:01,651 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 1.25s
2025-06-18 16:08:01,651 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:08:01,719 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:08:01] "POST /ask HTTP/1.1" 200 -
2025-06-18 16:08:59,300 | __main__ | INFO | app.py:70 | Health check requested
2025-06-18 16:08:59,301 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:08:59] "GET /health HTTP/1.1" 200 -
2025-06-18 16:09:07,366 | __main__ | INFO | app.py:101 | Processing question: What is distillation?...
2025-06-18 16:09:07,366 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
