2025-06-20 00:17:58,855 | __main__ | INFO | run_pipeline.py:436 | 🚀 Starting RAG query
2025-06-20 00:17:58,855 | __main__ | INFO | run_pipeline.py:437 | ❓ Question: What is distillation?
2025-06-20 00:17:58,855 | __main__ | INFO | run_pipeline.py:438 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:17:58,855 | __main__ | INFO | run_pipeline.py:439 | 📊 Top K: 5
2025-06-20 00:17:58,855 | __main__ | INFO | run_pipeline.py:442 | 🔄 Using RAG system for query processing
2025-06-20 00:17:58,856 | pynucleus.rag.vector_store | INFO | vector_store.py:600 | ChromaDB client initialized successfully in vector store
2025-06-20 00:17:58,856 | pynucleus.rag.vector_store | INFO | vector_store.py:629 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-20 00:17:58,856 | pynucleus.rag.vector_store | INFO | vector_store.py:636 | ChromaDB collection is empty
2025-06-20 00:17:58,856 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:45 | Vector store (chroma) not fully loaded - will use fallback mode
2025-06-20 00:17:58,857 | __main__ | INFO | run_pipeline.py:449 | 🔄 Processing question...
2025-06-20 00:17:58,857 | pynucleus | INFO | engine.py:37 | ChromaDB client initialized successfully in engine
2025-06-20 00:17:58,858 | pynucleus | INFO | logger.py:24 | ✅ ChromaDB collection initialized successfully
2025-06-20 00:17:58,906 | chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2 | DEBUG | onnx_mini_lm_l6_v2.py:227 | WARNING: No ONNX providers provided, defaulting to available providers: ['CoreMLExecutionProvider', 'AzureExecutionProvider', 'CPUExecutionProvider']
2025-06-20 00:18:01,386 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:18:01,387 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-06-20 00:18:01,521 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-06-20 00:18:01,584 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/Qwen/Qwen2.5-1.5B-Instruct/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-06-20 00:18:01,836 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/config.json HTTP/1.1" 200 0
2025-06-20 00:18:09,142 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/generation_config.json HTTP/1.1" 200 0
2025-06-20 00:18:09,201 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
2025-06-20 00:18:09,201 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-20 00:18:09,201 | __main__ | INFO | run_pipeline.py:471 | 🤖 Generating enhanced response with Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:19:05,380 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 56.15s
2025-06-20 00:19:05,381 | __main__ | INFO | run_pipeline.py:494 | ✅ Question processed successfully
