2025-07-01 04:25:00,482 | __main__ | INFO | run_pipeline.py:519 | 🚀 Starting interactive chat session
2025-07-01 04:25:00,482 | __main__ | INFO | run_pipeline.py:520 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-07-01 04:25:00,482 | __main__ | INFO | run_pipeline.py:521 | 📊 Top K: 5
2025-07-01 04:25:00,482 | __main__ | INFO | run_pipeline.py:534 | 🔧 Initializing RAG pipeline and LLM runner
2025-07-01 04:25:00,483 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-07-01 04:25:00,483 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-07-01 04:25:00,484 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 5305 documents
2025-07-01 04:25:00,484 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-07-01 04:25:00,484 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-07-01 04:25:00,484 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 5305 documents
2025-07-01 04:25:00,484 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-07-01 04:25:09,662 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-07-01 04:25:27,810 | pynucleus | INFO | engine.py:137 | Enhanced retrieval: 2 documents (filtered from 3) for query
2025-07-01 04:25:27,810 | pynucleus | INFO | engine.py:211 | Built enhanced context: 2 chunks, 1594 characters
2025-07-01 04:25:27,810 | pynucleus | INFO | engine.py:452 | Question complexity: Simple, Token limit: 250, Context length: 1594
2025-07-01 04:25:27,810 | pynucleus | INFO | model_loader.py:262 | Generating with HuggingFace model (max_tokens=250, stream=False)
2025-07-01 04:26:12,551 | pynucleus | INFO | answer_processing.py:72 | Deduplication: 9 -> 9 sentences
2025-07-01 04:26:12,552 | pynucleus.rag.answer_processing | INFO | answer_processing.py:219 | Deduplication: 9 -> 9 sentences
2025-07-01 04:26:12,556 | pynucleus | INFO | answer_processing.py:182 | Added citation to answer lacking proper citations
2025-07-01 04:26:12,556 | pynucleus.rag.answer_processing | INFO | answer_processing.py:238 | Added citation to answer lacking proper citations
2025-07-01 04:26:13,406 | pynucleus.eval | WARNING | __init__.py:42 | No calibration model found at data/calibration/models/calibration_isotonic.pkl
2025-07-01 04:26:13,406 | pynucleus | INFO | engine.py:28 | No trained confidence calibration model found, using identity function
2025-07-01 04:26:35,703 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 22.27s
2025-07-01 04:26:57,051 | pynucleus.eval.confidence_calibration | INFO | confidence_calibration.py:107 | Initialized ConfidenceCalibrator with method=both
2025-07-01 04:28:53,864 | pynucleus | INFO | engine.py:137 | Enhanced retrieval: 0 documents (filtered from 3) for query
2025-07-01 04:29:40,507 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 46.63s
