2025-06-20 00:38:12,675 | __main__ | INFO | run_pipeline.py:517 | 🚀 Starting interactive chat session
2025-06-20 00:38:12,675 | __main__ | INFO | run_pipeline.py:518 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:38:12,675 | __main__ | INFO | run_pipeline.py:519 | 📊 Top K: 5
2025-06-20 00:38:12,676 | __main__ | INFO | run_pipeline.py:532 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-20 00:38:12,677 | pynucleus.rag.vector_store | INFO | vector_store.py:600 | ChromaDB client initialized successfully in vector store
2025-06-20 00:38:12,677 | pynucleus.rag.vector_store | INFO | vector_store.py:629 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-20 00:38:12,677 | pynucleus.rag.vector_store | INFO | vector_store.py:634 | ChromaDB collection contains 3587 documents
2025-06-20 00:38:12,677 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-20 00:38:12,677 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3587 documents
2025-06-20 00:38:12,677 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:38:18,490 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-20 00:38:25,961 | pynucleus | INFO | prompting.py:37 | Context truncated to 900 characters to fit context window
2025-06-20 00:39:15,445 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 48.71s
2025-06-20 00:40:09,686 | pynucleus | INFO | prompting.py:37 | Context truncated to 900 characters to fit context window
2025-06-20 00:40:59,570 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 49.29s
