2025-06-24 15:21:38,528 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.85.29:5001
2025-06-24 15:21:38,528 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-24 15:21:47,269 | pynucleus.api.app | INFO | app.py:862 | System statistics requested
2025-06-24 15:21:47,319 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:21:47,320 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:21:47,405 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:21:47,406 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:21:47] "GET /system_statistics HTTP/1.1" 200 -
2025-06-24 15:21:58,442 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:21:58,444 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:21:58,444 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:21:58,445 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:21:58,469 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:21:58] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:05,758 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:05] "GET / HTTP/1.1" 200 -
2025-06-24 15:22:12,021 | pynucleus | INFO | engine.py:38 | ChromaDB client initialized successfully
2025-06-24 15:22:12,209 | pynucleus | INFO | engine.py:91 | Retrieved 1 documents for query
2025-06-24 15:22:12,381 | pynucleus | INFO | engine.py:91 | Retrieved 1000 documents for query
2025-06-24 15:22:12,382 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:12] "GET /status HTTP/1.1" 200 -
2025-06-24 15:22:15,209 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:15,213 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:15,214 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:15,217 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:15,219 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:15] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:20,803 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:20,808 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:20,808 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:20,809 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:20,814 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:20] "GET /enhanced_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:27,637 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:27,641 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:27,641 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:27,643 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:27,644 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:27] "GET /enhanced_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:28,957 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:28] "GET / HTTP/1.1" 200 -
2025-06-24 15:22:31,742 | pynucleus | INFO | engine.py:91 | Retrieved 1 documents for query
2025-06-24 15:22:31,845 | pynucleus | INFO | engine.py:91 | Retrieved 1000 documents for query
2025-06-24 15:22:31,846 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:31] "GET /status HTTP/1.1" 200 -
2025-06-24 15:22:32,676 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:32,681 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:32,681 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:32,682 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:32,684 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:32] "GET /enhanced_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:35,469 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:35,473 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:35,474 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:35,474 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:35,476 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:35] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:37,367 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:37,371 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:37,372 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:37,373 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:37,374 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:37] "GET /enhanced_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:39,694 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:39] "GET / HTTP/1.1" 200 -
2025-06-24 15:22:42,207 | pynucleus | INFO | engine.py:91 | Retrieved 1 documents for query
2025-06-24 15:22:42,318 | pynucleus | INFO | engine.py:91 | Retrieved 1000 documents for query
2025-06-24 15:22:42,318 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:42] "GET /status HTTP/1.1" 200 -
2025-06-24 15:22:42,635 | pynucleus.api.app | INFO | app.py:768 | System diagnostic requested
2025-06-24 15:22:42,638 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-24 15:22:42,638 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-24 15:22:42,638 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-24 15:22:42,639 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [24/Jun/2025 15:22:42] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-24 15:22:57,399 | pynucleus.api.app | INFO | app.py:352 | Processing question: What are the main advantages of modular chemical p... (stream: False)
2025-06-24 15:22:57,582 | pynucleus | INFO | engine.py:91 | Retrieved 5 documents for query
2025-06-24 15:22:57,583 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=2048, stream=False)
2025-06-24 15:23:33,858 | pynucleus.api.app | INFO | app.py:862 | System statistics requested
2025-06-24 15:23:33,861 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
