2025-06-21 04:11:30,336 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!
2025-06-21 04:11:30,356 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 632-374-954
2025-06-21 04:11:41,455 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 04:11:41,456 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 04:11:41,522 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3588 documents
2025-06-21 04:11:41,630 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 04:11:41,630 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 04:11:41,631 | pynucleus | INFO | engine.py:39 | ChromaDB client initialized successfully in engine
2025-06-21 04:11:41,631 | pynucleus | INFO | logger.py:24 | ✅ ChromaDB collection initialized successfully
2025-06-21 04:11:41,810 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 04:11:41,810 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 04:11:41,901 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 04:11:41] "GET /status HTTP/1.1" 200 -
2025-06-21 04:11:49,054 | pynucleus.api.app | INFO | app.py:330 | Refreshing vector database - checking for new documents
2025-06-21 04:11:49,055 | pynucleus.api.app | INFO | app.py:357 | Found 9 files in source_documents, processing...
2025-06-21 04:11:49,058 | pynucleus | INFO | collector.py:64 | ChromaDB client initialized successfully in collector
2025-06-21 04:11:49,060 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-21 04:11:49,060 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-21 04:11:50,395 | pynucleus | INFO | collector.py:113 | Found 8 files to ingest from data/01_raw/source_documents
2025-06-21 04:11:50,395 | pynucleus | INFO | collector.py:114 |   - 1 .txt files
2025-06-21 04:11:50,396 | pynucleus | INFO | collector.py:115 |   - 7 .pdf files
2025-06-21 04:11:50,396 | pynucleus | INFO | collector.py:116 |   - 0 .md files
