2025-06-20 00:27:00,041 | __main__ | INFO | run_pipeline.py:517 | 🚀 Starting interactive chat session
2025-06-20 00:27:00,041 | __main__ | INFO | run_pipeline.py:518 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:27:00,041 | __main__ | INFO | run_pipeline.py:519 | 📊 Top K: 5
2025-06-20 00:27:00,041 | __main__ | INFO | run_pipeline.py:532 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-20 00:27:00,042 | pynucleus.rag.vector_store | INFO | vector_store.py:600 | ChromaDB client initialized successfully in vector store
2025-06-20 00:27:00,042 | pynucleus.rag.vector_store | INFO | vector_store.py:629 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-20 00:27:00,042 | pynucleus.rag.vector_store | INFO | vector_store.py:634 | ChromaDB collection contains 3587 documents
2025-06-20 00:27:00,042 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-20 00:27:00,043 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3587 documents
2025-06-20 00:27:00,043 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 00:27:06,111 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-20 00:27:34,221 | pynucleus | INFO | prompting.py:37 | Context truncated to 900 characters to fit context window
2025-06-20 00:28:32,289 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 57.28s
2025-06-20 00:28:56,462 | pynucleus | INFO | prompting.py:37 | Context truncated to 900 characters to fit context window
2025-06-20 00:29:54,406 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 57.18s
