2025-06-18 16:06:12,477 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!
2025-06-18 16:06:12,482 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 632-374-954
2025-06-18 16:06:39,058 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:06:39] "GET / HTTP/1.1" 200 -
2025-06-18 16:06:39,211 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:06:39] "GET / HTTP/1.1" 200 -
2025-06-18 16:06:48,081 | __main__ | INFO | app.py:101 | Processing question: how does heat exchangers work?...
2025-06-18 16:06:51,096 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:06:51,115 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:06:51,115 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:06:53,011 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:06:53,011 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:06:54,508 | faiss.loader | INFO | loader.py:148 | Loading faiss.
2025-06-18 16:06:54,535 | faiss.loader | INFO | loader.py:150 | Successfully loaded faiss.
2025-06-18 16:06:54,540 | faiss | INFO | __init__.py:174 | Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
2025-06-18 16:06:54,687 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:06:54,687 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:06:54,687 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:06:54,801 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'how does heat exchangers work?...' returned 5 results
2025-06-18 16:06:54,801 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: how does heat exchangers work?...
2025-06-18 16:06:54,802 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:06:58,111 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:06:58,111 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:06:59,553 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 1.44s
2025-06-18 16:06:59,553 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:06:59,615 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:06:59] "POST /ask HTTP/1.1" 200 -
