2025-06-30 15:03:15,672 | __main__ | INFO | run_pipeline.py:517 | 🚀 Starting interactive chat session
2025-06-30 15:03:15,672 | __main__ | INFO | run_pipeline.py:518 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-30 15:03:15,672 | __main__ | INFO | run_pipeline.py:519 | 📊 Top K: 5
2025-06-30 15:03:15,672 | __main__ | INFO | run_pipeline.py:532 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-30 15:03:15,673 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 15:03:15,674 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 15:03:15,674 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 15:03:15,674 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 15:03:15,674 | pynucleus | INFO | engine.py:58 | ChromaDB collection initialized successfully
2025-06-30 15:03:15,674 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 15:03:15,674 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-30 15:03:28,005 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-30 15:04:06,365 | pynucleus | INFO | engine.py:129 | Enhanced retrieval: 3 documents (filtered from 3) for query
2025-06-30 15:04:06,366 | pynucleus | INFO | engine.py:203 | Built enhanced context: 3 chunks, 2360 characters
2025-06-30 15:04:06,366 | pynucleus | INFO | engine.py:416 | Question complexity: Simple, Token limit: 250, Context length: 2360
2025-06-30 15:04:06,366 | pynucleus | INFO | model_loader.py:262 | Generating with HuggingFace model (max_tokens=250, stream=False)
